BJD - 2454833, Corrected Flux
3077.428131722, 0.994973154,
3077.448564121, 0.994983061,
3077.468996419, 0.994755852,
3077.489428917, 0.994879156,
3077.509861315, 0.994657960,
3077.530293612, 0.994735245,
3077.550726108, 0.994677988,
3077.591590999, 0.994473424,
3077.612023294, 0.994629494,
3077.632455688, 0.994879860,
3077.652888182, 0.994789819,
3077.673320475, 0.994747278,
3077.693752868, 0.994607581,
3077.714185360, 0.994824609,
3077.734617752, 0.994847688,
3077.755050044, 0.994849758,
3077.775482534, 0.994711274,
3077.795914924, 0.994264588,
3077.836779703, 0.994643250,
3077.857212091, 0.994598627,
3077.877644380, 0.994840739,
3077.898076867, 0.994659645,
3077.918509254, 0.994815507,
3077.938941541, 0.994741158,
3077.959374027, 0.994681721,
3077.979806412, 0.994572612,
3078.000238697, 0.994809123,
3078.020671182, 0.994850649,
3078.041103466, 0.994890667,
3078.061535949, 0.994338876,
3078.081968332, 0.994811733,
3078.102400714, 0.994648032,
3078.122832996, 0.994619127,
3078.143265478, 0.994601760,
3078.163697859, 0.994859679,
3078.184130139, 0.994635875,
3078.204562619, 0.994646309,
3078.224994998, 0.994698226,
3078.245427477, 0.994581820,
3078.265859755, 0.994411000,
3078.286292133, 0.994691377,
3078.327156887, 0.994482313,
3078.347589263, 0.994663126,
3078.368021739, 0.994773762,
3078.388454014, 0.994772775,
3078.408886388, 0.994980325,
3078.429318863, 0.994808810,
3078.449751136, 0.994873578,
3078.470183509, 0.994583352,
3078.490615982, 0.994623866,
3078.511048254, 0.994617495,
3078.531480626, 0.994779949,
3078.572345467, 0.994685783,
3078.592777737, 0.994178185,
3078.613210207, 0.993485385,
3078.633642576, 0.993320806,
3078.654074844, 0.993257222,
3078.674507312, 0.993074000,
3078.694939680, 0.993097236,
3078.715371947, 0.993489556,
3078.735804413, 0.993433996,
3078.756236679, 0.993533278,
3078.776669044, 0.994463511,
3078.797101509, 0.994670101,
3078.817533874, 0.994708418,
3078.837966138, 0.994589539,
3078.858398601, 0.994755823,
3078.878830864, 0.994694480,
3078.899263326, 0.994882291,
3078.919695688, 0.994669179,
3078.940127949, 0.994933068,
3078.960560410, 0.994773258,
3078.980992771, 0.994799562,
3079.001425130, 0.994771220,
3079.021857490, 0.994836509,
3079.062722207, 0.994732595,
3079.083154664, 0.994655168,
3079.103586922, 0.994609437,
3079.124019279, 0.994471071,
3079.144451735, 0.995034833,
3079.164883991, 0.994943032,
3079.185316345, 0.994615680,
3079.205748800, 0.994551946,
3079.226181055, 0.994732663,
3079.246613408, 0.994720107,
3079.267045862, 0.994675094,
3079.287478114, 0.994750401,
3079.307910466, 0.994581400,
3079.328342918, 0.994676505,
3079.348775169, 0.994669458,
3079.369207520, 0.994880461,
3079.389639970, 0.995002537,
3079.410072320, 0.995021710,
3079.430504569, 0.994791321,
3079.450937017, 0.994529477,
3079.471369365, 0.994751743,
3079.491801613, 0.994764835,
3079.512234060, 0.994686883,
3079.553098653, 0.994705123,
3079.573531099, 0.994573542,
3079.593963344, 0.994732831,
3079.614395788, 0.994699294,
3079.634828132, 0.994840512,
3079.655260376, 0.994679071,
3079.675692819, 0.994609455,
3079.696125161, 0.994602866,
3079.716557404, 0.994629575,
3079.736989845, 0.994587935,
3079.757422186, 0.994477214,
3079.777854427, 0.994706300,
3079.798286867, 0.994869719,
3079.818719206, 0.994574704,
3079.839151545, 0.994883904,
